purchase_need_id,request_date,requester_user_id,department_id,vendor_id,project_id,item_description,amount_total,needed_by,scenario_id
NEED-013,2026-06-04,USER-REQ-003,DEPT-IT,VENDOR-016,PRJ-2026-Q2-013,Routine purchase package 013,644000,2026-06-24,S-002
NEED-014,2026-06-07,USER-REQ-004,DEPT-FIN,VENDOR-017,PRJ-2026-Q2-014,Routine purchase package 014,717000,2026-06-21,S-002
NEED-015,2026-06-10,USER-REQ-005,DEPT-HR,VENDOR-018,PRJ-2026-Q2-015,Routine purchase package 015,790000,2026-06-25,S-002
NEED-016,2026-06-13,USER-REQ-001,DEPT-SALES,VENDOR-019,PRJ-2026-Q2-016,Routine purchase package 016,863000,2026-06-29,S-002
NEED-017,2026-06-16,USER-REQ-002,DEPT-OPS,VENDOR-020,PRJ-2026-Q2-017,Routine purchase package 017,936000,2026-07-03,S-002
NEED-018,2026-06-19,USER-REQ-003,DEPT-IT,VENDOR-001,PRJ-2026-Q2-018,Routine purchase package 018,1009000,2026-07-07,S-002
NEED-019,2026-06-22,USER-REQ-004,DEPT-FIN,VENDOR-002,PRJ-2026-Q2-019,Routine purchase package 019,1082000,2026-07-11,S-002
NEED-020,2026-06-25,USER-REQ-005,DEPT-HR,VENDOR-003,PRJ-2026-Q2-020,Routine purchase package 020,1155000,2026-07-15,S-002
NEED-021,2026-04-01,USER-REQ-001,DEPT-SALES,VENDOR-004,PRJ-2026-Q2-021,Routine purchase package 021,1228000,2026-04-15,S-002
NEED-022,2026-04-04,USER-REQ-002,DEPT-OPS,VENDOR-005,PRJ-2026-Q2-022,Routine purchase package 022,1301000,2026-04-19,S-002
NEED-023,2026-04-07,USER-REQ-003,DEPT-IT,VENDOR-006,PRJ-2026-Q2-023,Routine purchase package 023,1374000,2026-04-23,S-002
NEED-024,2026-04-10,USER-REQ-004,DEPT-FIN,VENDOR-007,PRJ-2026-Q2-024,Routine purchase package 024,1447000,2026-04-27,S-002
NEED-025,2026-04-13,USER-REQ-005,DEPT-HR,VENDOR-008,PRJ-2026-Q2-025,Routine purchase package 025,1520000,2026-05-01,S-002
NEED-026,2026-04-16,USER-REQ-001,DEPT-SALES,VENDOR-009,PRJ-2026-Q2-026,Routine purchase package 026,1593000,2026-05-05,S-002
NEED-027,2026-04-19,USER-REQ-002,DEPT-OPS,VENDOR-010,PRJ-2026-Q2-027,Routine purchase package 027,1666000,2026-05-09,S-002
NEED-028,2026-04-22,USER-REQ-003,DEPT-IT,VENDOR-011,PRJ-2026-Q2-028,Routine purchase package 028,1739000,2026-05-06,S-002
NEED-029,2026-04-25,USER-REQ-004,DEPT-FIN,VENDOR-012,PRJ-2026-Q2-029,Routine purchase package 029,1812000,2026-05-10,S-002
NEED-030,2026-04-28,USER-REQ-005,DEPT-HR,VENDOR-013,PRJ-2026-Q2-030,Routine purchase package 030,1885000,2026-05-14,S-002
NEED-031,2026-05-01,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-031,Routine purchase package 031,1958000,2026-05-18,S-002
NEED-032,2026-05-04,USER-REQ-002,DEPT-OPS,VENDOR-015,PRJ-2026-Q2-032,Routine purchase package 032,2031000,2026-05-22,S-002
NEED-033,2026-05-07,USER-REQ-003,DEPT-IT,VENDOR-016,PRJ-2026-Q2-033,Routine purchase package 033,2104000,2026-05-26,S-002
NEED-034,2026-05-10,USER-REQ-004,DEPT-FIN,VENDOR-017,PRJ-2026-Q2-034,Routine purchase package 034,2177000,2026-05-30,S-002
NEED-035,2026-05-13,USER-REQ-005,DEPT-HR,VENDOR-018,PRJ-2026-Q2-035,Routine purchase package 035,2250000,2026-05-27,S-002
NEED-036,2026-05-16,USER-REQ-001,DEPT-SALES,VENDOR-019,PRJ-2026-Q2-036,Routine purchase package 036,2323000,2026-05-31,S-002
NEED-037,2026-05-19,USER-REQ-002,DEPT-OPS,VENDOR-020,PRJ-2026-Q2-037,Routine purchase package 037,146000,2026-06-04,S-002
NEED-038,2026-05-22,USER-REQ-003,DEPT-IT,VENDOR-001,PRJ-2026-Q2-038,Routine purchase package 038,219000,2026-06-08,S-002
NEED-039,2026-05-25,USER-REQ-004,DEPT-FIN,VENDOR-002,PRJ-2026-Q2-039,Routine purchase package 039,292000,2026-06-12,S-002
NEED-040,2026-05-28,USER-REQ-005,DEPT-HR,VENDOR-003,PRJ-2026-Q2-040,Routine purchase package 040,365000,2026-06-16,S-002
NEED-041,2026-05-31,USER-REQ-001,DEPT-SALES,VENDOR-004,PRJ-2026-Q2-041,Routine purchase package 041,438000,2026-06-20,S-002
NEED-042,2026-06-03,USER-REQ-002,DEPT-OPS,VENDOR-005,PRJ-2026-Q2-042,Routine purchase package 042,511000,2026-06-17,S-002
NEED-043,2026-06-06,USER-REQ-003,DEPT-IT,VENDOR-006,PRJ-2026-Q2-043,Routine purchase package 043,584000,2026-06-21,S-002
NEED-044,2026-06-09,USER-REQ-004,DEPT-FIN,VENDOR-007,PRJ-2026-Q2-044,Routine purchase package 044,657000,2026-06-25,S-002
NEED-045,2026-06-12,USER-REQ-005,DEPT-HR,VENDOR-008,PRJ-2026-Q2-045,Routine purchase package 045,730000,2026-06-29,S-002
NEED-046,2026-06-15,USER-REQ-001,DEPT-SALES,VENDOR-009,PRJ-2026-Q2-046,Routine purchase package 046,803000,2026-07-03,S-002
NEED-047,2026-06-18,USER-REQ-002,DEPT-OPS,VENDOR-010,PRJ-2026-Q2-047,Routine purchase package 047,876000,2026-07-07,S-002
NEED-048,2026-06-21,USER-REQ-003,DEPT-IT,VENDOR-011,PRJ-2026-Q2-048,Routine purchase package 048,949000,2026-07-11,S-002
NEED-049,2026-06-24,USER-REQ-004,DEPT-FIN,VENDOR-012,PRJ-2026-Q2-049,Routine purchase package 049,1022000,2026-07-08,S-002
NEED-050,2026-06-27,USER-REQ-005,DEPT-HR,VENDOR-013,PRJ-2026-Q2-050,Routine purchase package 050,1095000,2026-07-12,S-002
NEED-051,2026-04-03,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-051,Routine purchase package 051,1168000,2026-04-19,S-002
NEED-052,2026-04-06,USER-REQ-002,DEPT-OPS,VENDOR-015,PRJ-2026-Q2-052,Routine purchase package 052,1241000,2026-04-23,S-002
NEED-053,2026-04-09,USER-REQ-003,DEPT-IT,VENDOR-016,PRJ-2026-Q2-053,Routine purchase package 053,1314000,2026-04-27,S-002
NEED-054,2026-04-12,USER-REQ-004,DEPT-FIN,VENDOR-017,PRJ-2026-Q2-054,Routine purchase package 054,1387000,2026-05-01,S-002
NEED-055,2026-04-15,USER-REQ-005,DEPT-HR,VENDOR-018,PRJ-2026-Q2-055,Routine purchase package 055,1460000,2026-05-05,S-002
NEED-056,2026-04-18,USER-REQ-001,DEPT-SALES,VENDOR-019,PRJ-2026-Q2-056,Routine purchase package 056,1533000,2026-05-02,S-002
NEED-057,2026-04-21,USER-REQ-002,DEPT-OPS,VENDOR-020,PRJ-2026-Q2-057,Routine purchase package 057,1606000,2026-05-06,S-002
NEED-058,2026-04-24,USER-REQ-003,DEPT-IT,VENDOR-001,PRJ-2026-Q2-058,Routine purchase package 058,1679000,2026-05-10,S-002
NEED-059,2026-04-27,USER-REQ-004,DEPT-FIN,VENDOR-002,PRJ-2026-Q2-059,Routine purchase package 059,1752000,2026-05-14,S-002
NEED-060,2026-04-30,USER-REQ-005,DEPT-HR,VENDOR-003,PRJ-2026-Q2-060,Routine purchase package 060,1825000,2026-05-18,S-002
NEED-061,2026-05-03,USER-REQ-001,DEPT-SALES,VENDOR-004,PRJ-2026-Q2-061,Routine purchase package 061,1898000,2026-05-22,S-002
NEED-062,2026-05-06,USER-REQ-002,DEPT-OPS,VENDOR-005,PRJ-2026-Q2-062,Routine purchase package 062,1971000,2026-05-26,S-002
NEED-063,2026-05-09,USER-REQ-003,DEPT-IT,VENDOR-006,PRJ-2026-Q2-063,Routine purchase package 063,2044000,2026-05-23,S-002
NEED-064,2026-05-12,USER-REQ-004,DEPT-FIN,VENDOR-007,PRJ-2026-Q2-064,Routine purchase package 064,2117000,2026-05-27,S-002
NEED-065,2026-05-15,USER-REQ-005,DEPT-HR,VENDOR-008,PRJ-2026-Q2-065,Routine purchase package 065,2190000,2026-05-31,S-002
NEED-066,2026-05-18,USER-REQ-001,DEPT-SALES,VENDOR-009,PRJ-2026-Q2-066,Routine purchase package 066,2263000,2026-06-04,S-002
NEED-067,2026-05-21,USER-REQ-002,DEPT-OPS,VENDOR-010,PRJ-2026-Q2-067,Routine purchase package 067,2336000,2026-06-08,S-002
NEED-068,2026-05-24,USER-REQ-003,DEPT-IT,VENDOR-011,PRJ-2026-Q2-068,Routine purchase package 068,159000,2026-06-12,S-002
NEED-069,2026-05-27,USER-REQ-004,DEPT-FIN,VENDOR-012,PRJ-2026-Q2-069,Routine purchase package 069,232000,2026-06-16,S-002
NEED-070,2026-05-30,USER-REQ-005,DEPT-HR,VENDOR-013,PRJ-2026-Q2-070,Routine purchase package 070,305000,2026-06-13,S-002
NEED-071,2026-06-02,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-071,Routine purchase package 071,378000,2026-06-17,S-002
NEED-072,2026-06-05,USER-REQ-002,DEPT-OPS,VENDOR-015,PRJ-2026-Q2-072,Routine purchase package 072,451000,2026-06-21,S-002
NEED-073,2026-06-08,USER-REQ-003,DEPT-IT,VENDOR-016,PRJ-2026-Q2-073,Routine purchase package 073,524000,2026-06-25,S-002
NEED-074,2026-06-11,USER-REQ-004,DEPT-FIN,VENDOR-017,PRJ-2026-Q2-074,Routine purchase package 074,597000,2026-06-29,S-002
NEED-075,2026-06-14,USER-REQ-005,DEPT-HR,VENDOR-018,PRJ-2026-Q2-075,Routine purchase package 075,670000,2026-07-03,S-002
NEED-076,2026-06-17,USER-REQ-001,DEPT-SALES,VENDOR-019,PRJ-2026-Q2-076,Routine purchase package 076,743000,2026-07-07,S-002
NEED-077,2026-06-20,USER-REQ-002,DEPT-OPS,VENDOR-020,PRJ-2026-Q2-077,Routine purchase package 077,816000,2026-07-04,S-002
NEED-078,2026-06-23,USER-REQ-003,DEPT-IT,VENDOR-001,PRJ-2026-Q2-078,Routine purchase package 078,889000,2026-07-08,S-002
NEED-079,2026-06-26,USER-REQ-004,DEPT-FIN,VENDOR-002,PRJ-2026-Q2-079,Routine purchase package 079,962000,2026-07-12,S-002
NEED-080,2026-04-02,USER-REQ-005,DEPT-HR,VENDOR-003,PRJ-2026-Q2-080,Routine purchase package 080,1035000,2026-04-19,S-002
NEED-081,2026-04-05,USER-REQ-001,DEPT-SALES,VENDOR-004,PRJ-2026-Q2-081,Routine purchase package 081,1108000,2026-04-23,S-002
NEED-082,2026-04-08,USER-REQ-002,DEPT-OPS,VENDOR-005,PRJ-2026-Q2-082,Routine purchase package 082,1181000,2026-04-27,S-002
NEED-083,2026-04-11,USER-REQ-003,DEPT-IT,VENDOR-006,PRJ-2026-Q2-083,Routine purchase package 083,1254000,2026-05-01,S-002
NEED-084,2026-04-14,USER-REQ-004,DEPT-FIN,VENDOR-007,PRJ-2026-Q2-084,Routine purchase package 084,1327000,2026-04-28,S-002
NEED-085,2026-04-17,USER-REQ-005,DEPT-HR,VENDOR-008,PRJ-2026-Q2-085,Routine purchase package 085,1400000,2026-05-02,S-002
NEED-086,2026-04-20,USER-REQ-001,DEPT-SALES,VENDOR-009,PRJ-2026-Q2-086,Routine purchase package 086,1473000,2026-05-06,S-002
NEED-087,2026-04-23,USER-REQ-002,DEPT-OPS,VENDOR-010,PRJ-2026-Q2-087,Routine purchase package 087,1546000,2026-05-10,S-002
NEED-088,2026-04-26,USER-REQ-003,DEPT-IT,VENDOR-011,PRJ-2026-Q2-088,Routine purchase package 088,1619000,2026-05-14,S-002
NEED-089,2026-04-29,USER-REQ-004,DEPT-FIN,VENDOR-012,PRJ-2026-Q2-089,Routine purchase package 089,1692000,2026-05-18,S-002
NEED-090,2026-05-02,USER-REQ-005,DEPT-HR,VENDOR-013,PRJ-2026-Q2-090,Routine purchase package 090,1765000,2026-05-22,S-002
NEED-091,2026-05-05,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-091,Routine purchase package 091,1838000,2026-05-19,S-002
NEED-092,2026-05-08,USER-REQ-002,DEPT-OPS,VENDOR-015,PRJ-2026-Q2-092,Routine purchase package 092,1911000,2026-05-23,S-002
NEED-093,2026-05-11,USER-REQ-003,DEPT-IT,VENDOR-016,PRJ-2026-Q2-093,Routine purchase package 093,1984000,2026-05-27,S-002
NEED-094,2026-05-14,USER-REQ-004,DEPT-FIN,VENDOR-017,PRJ-2026-Q2-094,Routine purchase package 094,2057000,2026-05-31,S-002
NEED-095,2026-05-17,USER-REQ-005,DEPT-HR,VENDOR-018,PRJ-2026-Q2-095,Routine purchase package 095,2130000,2026-06-04,S-002
NEED-096,2026-05-20,USER-REQ-001,DEPT-SALES,VENDOR-019,PRJ-2026-Q2-096,Routine purchase package 096,2203000,2026-06-08,S-002
NEED-097,2026-05-23,USER-REQ-002,DEPT-OPS,VENDOR-020,PRJ-2026-Q2-097,Routine purchase package 097,2276000,2026-06-12,S-002
NEED-098,2026-05-26,USER-REQ-003,DEPT-IT,VENDOR-001,PRJ-2026-Q2-098,Routine purchase package 098,2349000,2026-06-09,S-002
NEED-099,2026-05-29,USER-REQ-004,DEPT-FIN,VENDOR-002,PRJ-2026-Q2-099,Routine purchase package 099,172000,2026-06-13,S-002
NEED-100,2026-06-01,USER-REQ-005,DEPT-HR,VENDOR-003,PRJ-2026-Q2-100,Routine purchase package 100,245000,2026-06-17,S-002
